,Unnamed: 0,Song_Name,Key,Capo,Chord,Frequency_map_of_each_chord,BPM
65,83,Stitches Chords,A#m,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 bpm
66,344,Riptide Chords,A#m,1st fret,"['Am', 'G', 'C', 'Fmaj7']","{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}",102 bpm
67,90,Treat You Better Chords,A#m,1st fret,"['Am', 'G', 'F', 'C']","{'Am': 30, 'G': 30, 'F': 30, 'C': 19}",83 bpm
68,251,Stitches Chords,A#m,1st fret,"['Am', 'G', 'C', 'F']","{'Am': 30, 'G': 32, 'C': 26, 'F': 29}",150 bpm
69,229,Dandelions Chords,A#m,6th fret,"['C', 'Em', 'G', 'D']","{'C': 36, 'Em': 35, 'G': 35, 'D': 35}",78 bpm
70,81,Whatever It Takes Chords,A#m,1st fret,"['Am', 'G', 'Em', 'D', 'F', 'C']","{'Am': 24, 'G': 27, 'Em': 15, 'D': 4, 'F': 12, 'C': 12}",68 bpm
73,187,Riptide Chords,A#m,1st fret,"['Am', 'G', 'C', 'Fmaj7']","{'Am': 39, 'G': 39, 'C': 40, 'Fmaj7': 2}",102 bpm
74,383,Dandelions Chords,A#m,6th fret,"['C', 'Em', 'G', 'D']","{'C': 36, 'Em': 35, 'G': 35, 'D': 35}",78 bpm
76,254,Home Chords,Bm,no capo,"['Bm', 'D', 'D/F#', 'G', 'Em', 'A']","{'Bm': 25, 'D': 53, 'D/F#': 21, 'G': 27, 'Em': 6, 'A': 8}",112 bpm
80,321,Home Chords,Bm,2nd fret,"['Am', 'C', 'C/E', 'F', 'Dm', 'G']","{'Am': 24, 'C': 49, 'C/E': 20, 'F': 25, 'Dm': 8, 'G': 8}",112 bpm
82,71,Shivers Chords,Bm,2nd fret,"['F', 'Am', 'C', 'G']","{'F': 16, 'Am': 15, 'C': 15, 'G': 16}",141 bpm
83,337,Wicked Game Chords,Bm,no capo,"['Bm', 'A', 'E']","{'Bm': 20, 'A': 20, 'E': 20}",112 bpm
84,335,Wicked Game Chords,Bm,no capo,"['Bm', 'A', 'E']","{'Bm': 20, 'A': 20, 'E': 20}",112 bpm
88,163,All I Want Chords,C,no capo,"['C', 'F', 'G/B', 'Am', 'G', 'Dm']","{'C': 36, 'F': 23, 'G/B': 6, 'Am': 14, 'G': 13, 'Dm': 2}",125 bpm
89,240,Somewhere Only We Know Chords,C,no capo,"['C', 'Em', 'Dm', 'G', 'F', 'Am']","{'C': 15, 'Em': 17, 'Dm': 21, 'G': 20, 'F': 16, 'Am': 6}",86 bpm
94,115,Closer Chords,C,1st fret,"['C', 'D', 'Em']","{'C': 40, 'D': 81, 'Em': 41}",95 bpm
97,33,Oh My God Chords,C,3rd fret,"['F', 'Dm', 'C', 'G']","{'F': 15, 'Dm': 15, 'C': 28, 'G': 1}",78 bpm
103,364,All Too Well Chords,C,no capo,"['C', 'G', 'Am', 'F']","{'C': 29, 'G': 34, 'Am': 31, 'F': 31}",93 bpm
108,394,Somewhere Only We Know Chords,C,no capo,"['C', 'Em', 'Dm', 'G', 'F', 'Am']","{'C': 15, 'Em': 17, 'Dm': 21, 'G': 20, 'F': 16, 'Am': 6}",86 bpm
113,0,That Way Chords,C,no capo,"['Am', 'F', 'Em']","{'Am': 17, 'F': 34, 'Em': 17}",NF
114,97,Gul Chords,C,6th fret,"['Am', 'Em', 'F', 'G', 'C']","{'Am': 26, 'Em': 25, 'F': 30, 'G': 29, 'C': 5}",87 bpm
115,93,Watermelon Sugar Chords,C,no capo,"['Dm7', 'Am7', 'C', 'G']","{'Dm7': 17, 'Am7': 17, 'C': 16, 'G': 14}",95 bpm
116,91,Payphone Chords,C,no capo,"['F', 'C', 'Am', 'G']","{'F': 18, 'C': 18, 'Am': 18, 'G': 18}",NF
118,102,Tere Hi Hum Chords,C,no capo,"['C', 'Fsus2', 'Am7', 'G', 'C7', 'F']","{'C': 35, 'Fsus2': 2, 'Am7': 33, 'G': 22, 'C7': 1, 'F': 34}",116 bpm
122,264,Creep Chords,C,no capo,"['C', 'E', 'F', 'Fm']","{'C': 12, 'E': 11, 'F': 11, 'Fm': 11}",92 bpm
123,313,Sweater Weather Acoustic Chords,C,3rd fret,"['C', 'Am', 'Em', 'G', 'D']","{'C': 25, 'Am': 30, 'Em': 24, 'G': 30, 'D': 7}",118 bpm
125,108,Make You Mine Chords,C,no capo,"['C', 'Em', 'Am', 'F', 'Dm']","{'C': 17, 'Em': 17, 'Am': 16, 'F': 17, 'Dm': 3}",103 bpm
126,295,Bejeweled Chords,C,no capo,"['C', 'Dm7', 'Am', 'Gsus4', 'Fsus2']","{'C': 30, 'Dm7': 29, 'Am': 29, 'Gsus4': 31, 'Fsus2': 2}",NF
127,273,Simple Man Chords,C,no capo,"['C', 'G', 'Am']","{'C': 28, 'G': 28, 'Am': 28}",60 bpm
128,297,I Still Havent Found What Im Looking For Chords,C#,1st fret,"['C', 'Fsus2', 'G', 'Csus4', 'F']","{'C': 31, 'Fsus2': 15, 'G': 8, 'Csus4': 6, 'F': 2}",101 bpm
130,72,Kho Gaye Hum Kaha Chords,C#,1st fret,"['C', 'F', 'G', 'E7']","{'C': 26, 'F': 26, 'G': 20, 'E7': 4}",100 bpm
131,326,This Is The Life Chords,C#m,4th fret,"['Am', 'F', 'C', 'Em']","{'Am': 21, 'F': 17, 'C': 17, 'Em': 17}",190 bpm
132,12,Sucker Chords,C#m,no capo,"['C#m', 'E', 'B', 'G#', 'F#m', 'A']","{'C#m': 38, 'E': 37, 'B': 43, 'G#': 19, 'F#m': 12, 'A': 12}",138 bpm
133,32,Shape Of You Chords,C#m,2nd fret,"['Bm', 'Em', 'G', 'A']","{'Bm': 44, 'Em': 42, 'G': 42, 'A': 40}",96 bpm
134,312,Jolene Chords,C#m,4th fret,"['Am', 'C', 'G', 'Em']","{'Am': 37, 'C': 12, 'G': 24, 'Em': 9}",110 bpm
136,41,Shape Of You Chords,C#m,no capo,"['C#m', 'F#m', 'A', 'B']","{'C#m': 43, 'F#m': 44, 'A': 43, 'B': 41}",91 bpm
137,46,Sucker Chords,C#m,no capo,"['C#m', 'E', 'B', 'G#', 'F#m', 'A']","{'C#m': 38, 'E': 37, 'B': 43, 'G#': 19, 'F#m': 12, 'A': 12}",138 bpm
140,66,Adore You Chords,Cm,3rd fret,"['Am7', 'C', 'Fmaj7', 'G']","{'Am7': 22, 'C': 22, 'Fmaj7': 22, 'G': 20}",99 bpm
142,142,Not Afraid Chords,Cm,3rd fret,"['Am', 'F/A', 'C', 'G', 'F']","{'Am': 21, 'F/A': 20, 'C': 22, 'G': 22, 'F': 2}",NF
143,168,Beautiful People Chords,Cm,3rd fret,"['C', 'Am', 'F']","{'C': 22, 'Am': 17, 'F': 29}",90 bpm
144,378,I Wanna Be Yours Chords,Cm,no capo,"['Cm', 'Fm', 'Gm', 'A#', 'G#']","{'Cm': 21, 'Fm': 16, 'Gm': 16, 'A#': 10, 'G#': 10}",68 bpm
146,164,If I Cant Have You Chords,D,2nd fret,"['C', 'F', 'Am', 'G']","{'C': 33, 'F': 34, 'Am': 26, 'G': 27}",NF
147,291,G#out You Chords,D,no capo,"['D', 'A', 'Bm', 'G']","{'D': 16, 'A': 26, 'Bm': 15, 'G': 13}",NF
153,347,Last Christmas Chords,D,no capo,"['D', 'Bm', 'Em', 'A']","{'D': 16, 'Bm': 15, 'Em': 17, 'A': 15}",107 bpm
154,190,Last Christmas Chords,D,no capo,"['D', 'Bm', 'Em', 'A']","{'D': 16, 'Bm': 15, 'Em': 17, 'A': 15}",107 bpm
155,309,Friday Im In Love Chords,D,no capo,"['D', 'G', 'A', 'Bm', 'C']","{'D': 30, 'G': 20, 'A': 24, 'Bm': 14, 'C': 4}",136 bpm
156,356,Best Part Chords,D,no capo,"['Dmaj7', 'Am7', 'Gmaj7', 'A#maj7']","{'Dmaj7': 16, 'Am7': 16, 'Gmaj7': 16, 'A#maj7': 16}",75 bpm
157,311,Thinking Out Loud Chords,D,2nd fret,"['C', 'C/E', 'F', 'G', 'Dm', 'Am']","{'C': 39, 'C/E': 37, 'F': 37, 'G': 50, 'Dm': 13, 'Am': 7}",75 bpm
162,202,Best Part Chords,D,no capo,"['Dmaj7', 'Am7', 'Gmaj7', 'A#maj7']","{'Dmaj7': 16, 'Am7': 16, 'Gmaj7': 16, 'A#maj7': 16}",75 bpm
163,113,One Thing Chords,D,2nd fret,"['C', 'G', 'Am', 'F']","{'C': 58, 'G': 45, 'Am': 31, 'F': 6}",127 bpm
164,110,Live While Were Young Chords,D,no capo,"['G', 'D', 'A', 'Bm']","{'G': 31, 'D': 54, 'A': 25, 'Bm': 8}",126 bpm
165,88,Thinking Out Loud Chords,D,2nd fret,"['C', 'C/E', 'F', 'G', 'Dm', 'Am']","{'C': 39, 'C/E': 37, 'F': 37, 'G': 50, 'Dm': 13, 'Am': 7}",75 bpm
166,82,Theres Nothing Holdin Me Back Chords,D,no capo,"['G', 'D', 'A', 'Bm']","{'G': 25, 'D': 90, 'A': 50, 'Bm': 26}",123 bpm
167,80,Demons Chords,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 bpm
170,64,The Water Fountain Chords,C#,1st fret,"['C', 'Am', 'G', 'D', 'Em']","{'C': 14, 'Am': 14, 'G': 12, 'D': 14, 'Em': 2}",67 bpm
172,116,Chaand Baaliyan Chords,C#,1st fret,"['C', 'Am7', 'G', 'F']","{'C': 18, 'Am7': 4, 'G': 10, 'F': 6}",97 bpm
173,184,Hallelujah Chords,C#,1st fret,"['C', 'Am', 'F', 'G', 'E7']","{'C': 41, 'Am': 38, 'F': 30, 'G': 28, 'E7': 5}",69 bpm
176,256,Complicated Chords,Dm,no capo,"['Dm', 'A#', 'F', 'C', 'Gm']","{'Dm': 25, 'A#': 32, 'F': 23, 'C': 25, 'Gm': 4}",78 bpm
178,317,Come Together Chords,Dm,no capo,"['Dm', 'A7', 'G7', 'Bm', 'A', 'G']","{'Dm': 8, 'A7': 4, 'G7': 4, 'Bm': 3, 'A': 6, 'G': 3}",82 bpm
179,87,South Of The Border Chords,Dm,no capo,"['Dm', 'F', 'A#', 'Am7', 'C']","{'Dm': 36, 'F': 36, 'A#': 36, 'Am7': 32, 'C': 4}",NF
182,18,Just My Type Chords,Dm,no capo,"['Dm', 'A', 'A#', 'Gm', 'F', 'C']","{'Dm': 26, 'A': 23, 'A#': 25, 'Gm': 11, 'F': 16, 'C': 1}",NF
183,400,Where Is My Mind Chords,E,no capo,"['E', 'C#m', 'G#', 'A', 'Am', 'B']","{'E': 25, 'C#m': 25, 'G#': 25, 'A': 25, 'Am': 3, 'B': 3}",81 bpm
184,403,Anti-Hero Chords,E,no capo,"['A', 'E', 'B', 'C#m']","{'A': 39, 'E': 39, 'B': 39, 'C#m': 39}",97 bpm
186,103,Choo Lo Chords,E,no capo,"['E', 'B', 'A', 'C#m']","{'E': 12, 'B': 53, 'A': 27, 'C#m': 14}",NF
187,95,2002 Chords,E,2nd fret,"['D', 'A', 'Bm', 'F#m', 'G']","{'D': 27, 'A': 30, 'Bm': 24, 'F#m': 3, 'G': 28}",NF
189,86,Photograph Chords,E,2nd fret,"['D', 'Bm', 'A', 'G']","{'D': 17, 'Bm': 16, 'A': 16, 'G': 17}",108 bpm
190,245,Where Is My Mind Chords,E,no capo,"['E', 'C#m', 'G#', 'A', 'Am', 'B']","{'E': 25, 'C#m': 25, 'G#': 25, 'A': 25, 'Am': 3, 'B': 3}",81 bpm
192,68,Falling Chords,E,no capo,"['E', 'C#m', 'B', 'A', 'G#m']","{'E': 13, 'C#m': 13, 'B': 12, 'A': 13, 'G#m': 11}",110 bpm
193,123,Hey Soul Sister Chords,E,4th fret,"['C', 'G', 'Am', 'F']","{'C': 26, 'G': 45, 'Am': 14, 'F': 28}",97 bpm
196,54,What Makes You Beautiful Chords,E,no capo,"['E', 'A', 'B']","{'E': 47, 'A': 47, 'B': 47}",NF
197,248,Anti-Hero Chords,E,no capo,"['A', 'E', 'B', 'C#m']","{'A': 39, 'E': 39, 'B': 39, 'C#m': 39}",97 bpm
199,339,Smells Like Teen Spirit Chords,E,1st fret,"['E', 'A', 'G', 'C']","{'E': 51, 'A': 50, 'G': 50, 'C': 50}",116 bpm
200,341,Love Yourself Chords,E,4th fret,"['C', 'G/B', 'Am', 'Dm', 'F', 'G']","{'C': 56, 'G/B': 20, 'Am': 28, 'Dm': 10, 'F': 18, 'G': 24}",100 bpm
203,249,Peaceful Easy Feeling Chords,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']","{'D': 47, 'Dsus4': 8, 'G': 41, 'A7': 24, 'Em': 13}",143 bpm
204,404,Peaceful Easy Feeling Chords,E,2nd fret,"['D', 'Dsus4', 'G', 'A7', 'Em']","{'D': 47, 'Dsus4': 8, 'G': 41, 'A7': 24, 'Em': 13}",143 bpm
205,114,Story Of My Life Chords,D#,3rd fret,"['Am', 'C', 'F', 'G']","{'Am': 24, 'C': 23, 'F': 25, 'G': 10}",121 bpm
217,157,Before You Go Chords,D#,1st fret,"['D', 'Bm', 'G', 'Asus4', 'A']","{'D': 14, 'Bm': 13, 'G': 12, 'Asus4': 4, 'A': 19}",112 bpm
218,195,Die For You Chords,D#,3rd fret,"['C', 'Dm', 'F', 'Fm', 'Am']","{'C': 13, 'Dm': 13, 'F': 13, 'Fm': 4, 'Am': 2}",NF
220,212,Cardigan Chords,D#,1st fret,"['Em', 'A', 'G', 'D', 'Bm']","{'Em': 7, 'A': 32, 'G': 26, 'D': 12, 'Bm': 7}",65 bpm
221,156,Without Me Chords,D#m,6th fret,"['Am', 'C', 'G', 'F']","{'Am': 27, 'C': 27, 'G': 27, 'F': 27}",69 bpm
222,154,Back To You Chords,D#m,2nd fret,"['C#m', 'A', 'E']","{'C#m': 41, 'A': 41, 'E': 41}",102 bpm
224,198,505 Chords,Em,no capo,"['Dm', 'Em']","{'Dm': 34, 'Em': 34}",140 bpm
226,270,Zombie Chords,Em,no capo,"['Em', 'C', 'G', 'D/F#']","{'Em': 22, 'C': 21, 'G': 16, 'D/F#': 16}",82 bpm
227,119,Cheap Thrills Chords,Em,2nd fret,"['Em', 'C', 'G', 'D']","{'Em': 37, 'C': 37, 'G': 37, 'D': 36}",90 bpm
228,144,Breakeven Chords,Em,3rd fret,"['C', 'G', 'D', 'Em', 'Am7']","{'C': 22, 'G': 43, 'D': 43, 'Em': 43, 'Am7': 21}",94 bpm
230,235,A Horse With No Name Chords,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']","{'Em': 24, 'D6/9': 24, 'Em9': 24, 'Dmaj9': 24}",123 bpm
231,310,Island In The Sun Chords,Em,no capo,"['Em', 'Am', 'D', 'G', 'C']","{'Em': 40, 'Am': 42, 'D': 46, 'G': 44, 'C': 2}",115 bpm
232,205,Nothing Else Matters Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']","{'Em': 32, 'D': 32, 'C': 32, 'G': 7, 'B7': 7, 'A': 11}",142 bpm
233,214,Heart Of Gold Chords,Em,no capo,"['Em7', 'D', 'Em', 'C', 'G']","{'Em7': 6, 'D': 21, 'Em': 26, 'C': 20, 'G': 25}",85 bpm
234,174,Darkside Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'D/F#']","{'Em': 35, 'D': 37, 'C': 35, 'G': 29, 'D/F#': 4}",85 bpm
235,352,505 Chords,Em,no capo,"['Dm', 'Em']","{'Dm': 34, 'Em': 34}",140 bpm
236,360,Nothing Else Matters Chords,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']","{'Em': 32, 'D': 32, 'C': 32, 'G': 7, 'B7': 7, 'A': 11}",142 bpm
238,165,Another Love Chords,Em,no capo,"['C', 'Em', 'Am', 'Bm', 'G']","{'C': 28, 'Em': 44, 'Am': 16, 'Bm': 28, 'G': 12}",120 bpm
239,397,God Rest Ye Merry Gentlemen Chords,Em,no capo,"['Em', 'C', 'B7', 'Am', 'G', 'D']","{'Em': 25, 'C': 10, 'B7': 20, 'Am': 5, 'G': 15, 'D': 10}",NF
240,387,A Horse With No Name Chords,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']","{'Em': 24, 'D6/9': 24, 'Em9': 24, 'Dmaj9': 24}",123 bpm
242,279,Dreams Chords,F,no capo,"['Fmaj7', 'F', 'G', 'G6', 'Am']","{'Fmaj7': 30, 'F': 33, 'G': 49, 'G6': 13, 'Am': 1}",120 bpm
243,112,Luka Chuppi - Duniyaa Chords,F,3rd fret,"['C', 'D', 'Em', 'Bm', 'Am']","{'C': 27, 'D': 42, 'Em': 32, 'Bm': 12, 'Am': 10}",77 bpm
247,307,August Chords,F,3rd fret,"['D', 'G', 'Em', 'A']","{'D': 22, 'G': 20, 'Em': 20, 'A': 20}",90 bpm
252,136,Just The Way You Are Chords,F,3rd fret,"['D', 'Bm7', 'G']","{'D': 24, 'Bm7': 12, 'G': 12}",109 bpm
253,96,Tum JG# Paas Chords,F#,2nd fret,"['E', 'A', 'B']","{'E': 45, 'A': 33, 'B': 36}",82 bpm
255,215,You Belong With Me Chords,F#,4th fret,"['D', 'A', 'Em', 'G']","{'D': 21, 'A': 17, 'Em': 17, 'G': 17}",130 bpm
256,370,You Belong With Me Chords,F#,4th fret,"['D', 'A', 'Em', 'G']","{'D': 21, 'A': 17, 'Em': 17, 'G': 17}",130 bpm
257,107,Heres Your Perfect Chords,F#,no capo,"['F#', 'C#', 'D#m', 'B', 'A#m', 'Dm']","{'F#': 10, 'C#': 16, 'D#m': 9, 'B': 9, 'A#m': 2, 'Dm': 5}",NF
258,76,Happier Chords,F#,6th fret,"['C', 'Am', 'Dm', 'G7']","{'C': 9, 'Am': 9, 'Dm': 17, 'G7': 12}",57 bpm
261,348,Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']","{'Em': 53, 'G': 33, 'D': 26, 'A7sus4': 19, 'C': 23}",87 bpm
263,368,The Night We Met Chords,F#m,2nd fret,"['Em', 'D', 'G', 'C']","{'Em': 25, 'D': 8, 'G': 25, 'C': 17}",58 bpm
264,192,Wonderwall Chords,F#m,2nd fret,"['Em', 'G', 'D', 'A7sus4', 'C']","{'Em': 53, 'G': 33, 'D': 26, 'A7sus4': 19, 'C': 23}",87 bpm
265,75,Good 4 U Chords,F#m,no capo,"['F#m', 'E', 'D', 'C#7', 'A', 'B']","{'F#m': 42, 'E': 56, 'D': 18, 'C#7': 4, 'A': 14, 'B': 15}",83 bpm
266,67,Galway Girl Chords,F#m,2nd fret,"['Em', 'G', 'D', 'Cadd9', 'C', 'Am7']","{'Em': 26, 'G': 36, 'D': 34, 'Cadd9': 16, 'C': 14, 'Am7': 2}",100 bpm
271,230,Something In The Way Chords,Fm,1st fret,"['Em', 'C/G']","{'Em': 45, 'C/G': 45}",102 bpm
275,389,Something In The Orange Chords,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']","{'Em': 29, 'G': 28, 'D/F#': 12, 'Cadd9': 14, 'D': 15}",166 bpm
276,237,Something In The Orange Chords,G,no capo,"['Em', 'G', 'D/F#', 'Cadd9', 'D']","{'Em': 29, 'G': 28, 'D/F#': 12, 'Cadd9': 14, 'D': 15}",166 bpm
277,45,Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']","{'G': 18, 'C': 30, 'Em': 15, 'D': 22, 'Am': 12}",110 bpm
284,231,Jersey Giant Acoustic Chords,G,no capo,"['G', 'D', 'Am', 'C']","{'G': 19, 'D': 20, 'Am': 23, 'C': 22}",190 bpm
286,186,Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']","{'G': 12, 'B': 11, 'C': 11, 'Cm': 13}",92 bpm
289,319,Free Bird Chords,G,no capo,"['G', 'D', 'Em', 'F', 'C', 'A#']","{'G': 14, 'D': 27, 'Em': 10, 'F': 17, 'C': 20, 'A#': 3}",NF
290,232,Joy To The World Chords,G,no capo,"['G', 'D', 'C']","{'G': 28, 'D': 16, 'C': 8}",100 bpm
291,77,Enough For You Chords,G,no capo,"['G', 'Em', 'C']","{'G': 48, 'Em': 34, 'C': 34}",88 bpm
292,222,Maroon Chords,G,no capo,"['C', 'G', 'Em', 'Dsus4', 'D']","{'C': 24, 'G': 24, 'Em': 22, 'Dsus4': 1, 'D': 24}",NF
293,340,Silent Night Chords,G,no capo,"['G', 'D', 'D7', 'C', 'Em']","{'G': 27, 'D': 12, 'D7': 7, 'C': 7, 'Em': 4}",84 bpm
295,155,Fight Song Chords,G,no capo,"['G', 'Em', 'Cadd9', 'G/B', 'D', 'Em7']","{'G': 17, 'Em': 5, 'Cadd9': 17, 'G/B': 4, 'D': 14, 'Em7': 11}",88 bpm
296,16,To Be So Lonely Chords,G,no capo,"['C', 'Am', 'G', 'Em', 'Fmaj7', 'D5']","{'C': 10, 'Am': 19, 'G': 10, 'Em': 10, 'Fmaj7': 11, 'D5': 1}",105 bpm
305,384,Joy To The World Chords,G,no capo,"['G', 'D', 'C']","{'G': 28, 'D': 16, 'C': 8}",100 bpm
307,11,Little Things Chords,G,no capo,"['G', 'C', 'Em', 'D', 'Am']","{'G': 18, 'C': 30, 'Em': 15, 'D': 22, 'Am': 12}",110 bpm
309,343,Creep Chords,G,no capo,"['G', 'B', 'C', 'Cm']","{'G': 12, 'B': 11, 'C': 11, 'Cm': 13}",92 bpm
311,314,Jingle Bells Chords,G,no capo,"['G', 'C', 'Am', 'D7', 'D', 'A7']","{'G': 43, 'C': 24, 'Am': 8, 'D7': 20, 'D': 4, 'A7': 4}",104 bpm
314,43,Tenerife Sea Chords,F#,4th fret,"['E', 'F#m', 'A', 'B', 'C#m']","{'E': 38, 'F#m': 28, 'A': 43, 'B': 16, 'C#m': 7}",120 bpm
