Song_name,Scale,Capo,Chords,Frequency_map_of_each_chord,bpm
Wicked Game,Bm,no capo,"['Bm', 'A', 'E']","{'Bm': 20, 'A': 20, 'E': 20}",112 
Your Song,D#,1st fret,"['D', 'G', 'A', 'F#m', 'Bm', 'Em7', 'Bm/A', 'Bm/G#', 'A/C#', 'Gmaj7', 'F#', 'Em', 'G6', 'D/F#', 'G/D', 'A/D']","{'D': 20, 'G': 16, 'A': 11, 'F#m': 5, 'Bm': 16, 'Em7': 7, 'Bm/A': 8, 'Bm/G#': 8, 'A/C#': 9, 'Gmaj7': 8, 'F#': 4, 'Em': 5, 'G6': 3, 'D/F#': 2, 'G/D': 2, 'A/D': 1}",64 
Silent Night,G,no capo,"['G', 'D', 'D7', 'C', 'Em']","{'G': 27, 'D': 12, 'D7': 7, 'C': 7, 'Em': 4}",84 
Love Yourself,E,4th fret,"['C', 'G/B', 'Am', 'Dm', 'F', 'G']","{'C': 56, 'G/B': 20, 'Am': 28, 'Dm': 10, 'F': 18, 'G': 24}",100 
As It Was,A,2nd fret,"['Am', 'D', 'G', 'C']","{'Am': 14, 'D': 14, 'G': 14, 'C': 12}",174 
All Of Me,Fm,1st fret,"['Em', 'C', 'G', 'D', 'Am', 'C/D']","{'Em': 23, 'C': 17, 'G': 29, 'D': 29, 'Am': 15, 'C/D': 6}",126 
Sweet Child O Mine,D,no capo,"['D', 'C', 'G', 'A', 'Em', 'B7', 'Am', 'E']","{'D': 51, 'C': 39, 'G': 38, 'A': 20, 'Em': 17, 'B7': 4, 'Am': 5, 'E': 1}",125 
Heather,F,5th fret,"['C', 'Em', 'Am', 'Fmaj7', 'Fm']","{'C': 9, 'Em': 9, 'Am': 9, 'Fmaj7': 9, 'Fm': 9}",92 
Wouldve Couldve Shouldve,C,no capo,"['Am', 'Em', 'G', 'D', 'C']","{'Am': 39, 'Em': 13, 'G': 39, 'D': 41, 'C': 28}",79 
Stand By Me,A,2nd fret,"['G', 'Em', 'C', 'D']","{'G': 36, 'Em': 18, 'C': 9, 'D': 9}",120 
Space Oddity,C,no capo,"['Fmaj7', 'Em', 'C', 'Am', 'Am/G', 'D7/F#', 'E7', 'F', 'Fm', 'E', 'A#', 'G', 'A', 'D', 'C/G']","{'Fmaj7': 10, 'Em': 14, 'C': 20, 'Am': 5, 'Am/G': 2, 'D7/F#': 3, 'E7': 3, 'F': 15, 'Fm': 6, 'E': 3, 'A#': 2, 'G': 8, 'A': 10, 'D': 2, 'C/G': 1}",68 
A Star Is Born - Always Remember Us This Way,C,no capo,"['Am', 'F', 'C', 'G', 'A#']","{'Am': 12, 'F': 23, 'C': 15, 'G': 20, 'A#': 4}",65 
Snowman,C#,1st fret,"['B', 'G', 'A', 'C', 'Dm', 'Am', 'E7', 'F', 'E']","{'B': 1, 'G': 9, 'A': 1, 'C': 17, 'Dm': 4, 'Am': 16, 'E7': 10, 'F': 10, 'E': 2}",70 
Golden Hour,E,no capo,"['F#m7', 'E7', 'A7', 'G#m7', 'Em']","{'F#m7': 5, 'E7': 14, 'A7': 12, 'G#m7': 2, 'Em': 2}",NF
Aint No Sunshine,Am,no capo,"['Am', 'Em', 'G', 'Dm']","{'Am': 31, 'Em': 16, 'G': 13, 'Dm': 3}",77 
Hallelujah,C,5th fret,"['G', 'Em', 'C', 'D', 'B7']","{'G': 27, 'Em': 23, 'C': 26, 'D': 26, 'B7': 4}",57 
No Surprises,F,3rd fret,"['D', 'Gm', 'Gmaj7/B', 'Em', 'A', 'Asus4']","{'D': 14, 'Gm': 11, 'Gmaj7/B': 5, 'Em': 12, 'A': 13, 'Asus4': 11}",75 
All I Want,C,no capo,"['C', 'F', 'G/B', 'Am', 'G', 'Dm']","{'C': 36, 'F': 23, 'G/B': 6, 'Am': 14, 'G': 13, 'Dm': 2}",125 
Happy Xmas War Is Over,G,no capo,"['A', 'Bm', 'E', 'D', 'Em', 'G']","{'A': 17, 'Bm': 4, 'E': 7, 'D': 9, 'Em': 6, 'G': 6}",147 
Im Not The Only One,F,no capo,"['F', 'A', 'Dm', 'A#', 'C', 'A#/C']","{'F': 47, 'A': 28, 'Dm': 28, 'A#': 32, 'C': 14, 'A#/C': 1}",84 
Hey There Delilah,D,no capo,"['D', 'F#m', 'Bm', 'G', 'A']","{'D': 33, 'F#m': 12, 'Bm': 31, 'G': 10, 'A': 20}",104 
Back To Black,Dm,no capo,"['Dm', 'Gm', 'A#', 'A', 'A#maj7', 'F', 'A7']","{'Dm': 16, 'Gm': 12, 'A#': 12, 'A': 14, 'A#maj7': 2, 'F': 2, 'A7': 1}",123 
American Pie,G,no capo,"['G', 'D/F#', 'Em7', 'Am', 'C', 'Em', 'D', 'G/B', 'Am7', 'D7', 'A7', 'Cm']","{'G': 78, 'D/F#': 20, 'Em7': 2, 'Am': 23, 'C': 64, 'Em': 54, 'D': 48, 'G/B': 6, 'Am7': 6, 'D7': 18, 'A7': 13, 'Cm': 1}",136 
Wagon Wheel,A,2nd fret,"['G', 'D', 'Em', 'C']","{'G': 45, 'D': 45, 'Em': 23, 'C': 45}",148 
Landslide,D#,3rd fret,"['G', 'C', 'G/B', 'Am7', 'Am', 'D7/F#', 'D/F#', 'Em']","{'G': 5, 'C': 29, 'G/B': 52, 'Am7': 27, 'Am': 3, 'D7/F#': 8, 'D/F#': 3, 'Em': 4}",80 
I Will Follow You Into The Dark,Am,5th fret,"['Am', 'C', 'F', 'G/B', 'G', 'E', 'Am/G', 'Fm', 'C/G', 'Am/E']","{'Am': 18, 'C': 23, 'F': 16, 'G/B': 5, 'G': 10, 'E': 4, 'Am/G': 4, 'Fm': 5, 'C/G': 10, 'Am/E': 6}",155 
505,Em,no capo,"['Dm', 'Em']","{'Dm': 34, 'Em': 34}",140 
Talking To The Moon,C,4th fret,"['C', 'E7', 'Am', 'G', 'F', 'Dm', 'G/B', 'D']","{'C': 12, 'E7': 5, 'Am': 15, 'G': 27, 'F': 16, 'Dm': 8, 'G/B': 3, 'D': 2}",73 
Let It Be,C,no capo,"['C', 'G', 'Am', 'Fmaj7', 'F6', 'F', 'C/E', 'Dm7', 'Am/G', 'A#', 'F/A']","{'C': 49, 'G': 32, 'Am': 15, 'Fmaj7': 7, 'F6': 7, 'F': 27, 'C/E': 16, 'Dm7': 16, 'Am/G': 6, 'A#': 2, 'F/A': 2}",76 
Here With Me,E,no capo,"['E', 'G#7', 'C#m', 'Bm7', 'Amaj7', 'F#m7', 'B7', 'A', 'G#m', 'B']","{'E': 19, 'G#7': 23, 'C#m': 13, 'Bm7': 11, 'Amaj7': 11, 'F#m7': 11, 'B7': 17, 'A': 8, 'G#m': 2, 'B': 4}",65 
Nothing Else Matters,Em,no capo,"['Em', 'D', 'C', 'G', 'B7', 'A']","{'Em': 32, 'D': 32, 'C': 32, 'G': 7, 'B7': 7, 'A': 11}",142 
Father And Son,G,no capo,"['G', 'D/F#', 'C', 'Am7', 'Em', 'Am', 'D', 'C/G', 'Bm', 'G/D']","{'G': 31, 'D/F#': 2, 'C': 15, 'Am7': 19, 'Em': 12, 'Am': 10, 'D': 21, 'C/G': 2, 'Bm': 4, 'G/D': 1}",67 
Easy On Me,F,5th fret,"['C', 'Am7', 'Em', 'Fmaj7', 'G', 'F', 'Dm7', 'Dm']","{'C': 20, 'Am7': 14, 'Em': 14, 'Fmaj7': 17, 'G': 13, 'F': 1, 'Dm7': 2, 'Dm': 4}",80 
Fade Into You,A,no capo,"['A', 'E', 'Bm', 'D']","{'A': 31, 'E': 31, 'Bm': 31, 'D': 4}",157 
Karma Police,Am,no capo,"['Am', 'D/F#', 'Em', 'G', 'F', 'D', 'C', 'Em/B', 'Bm', 'F#7', 'E7']","{'Am': 16, 'D/F#': 8, 'Em': 8, 'G': 30, 'F': 4, 'D': 34, 'C': 12, 'Em/B': 4, 'Bm': 14, 'F#7': 4, 'E7': 12}",75 
Let It Snow,C#,no capo,"['C', 'G7', 'D#dim', 'G', 'Dm', 'A7', 'Am', 'D7', 'D', 'Fdim', 'A', 'Em', 'B7', 'Bm', 'E7', 'E', 'Gdim', 'B', 'F#m', 'C#7', 'C#m', 'F#7', 'F', 'C7', 'G#dim', 'Gm', 'A#dim', 'Cdim']","{'C': 27, 'G7': 10, 'D#dim': 4, 'G': 27, 'Dm': 9, 'A7': 15, 'Am': 9, 'D7': 15, 'D': 27, 'Fdim': 4, 'A': 27, 'Em': 9, 'B7': 15, 'Bm': 9, 'E7': 15, 'E': 27, 'Gdim': 4, 'B': 11, 'F#m': 9, 'C#7': 5, 'C#m': 1, 'F#7': 7, 'F': 16, 'C7': 8, 'G#dim': 4, 'Gm': 8, 'A#dim': 4, 'Cdim': 4}",NF
A Thousand Years,A#,3rd fret,"['G', 'Em7', 'Cadd9', 'D', 'Am']","{'G': 12, 'Em7': 17, 'Cadd9': 14, 'D': 21, 'Am': 4}",139 
Cardigan,D#,1st fret,"['Em', 'A', 'G', 'D', 'Bm']","{'Em': 7, 'A': 32, 'G': 26, 'D': 12, 'Bm': 7}",65 
The A Team,A,2nd fret,"['G', 'D/F#', 'Em', 'C', 'Am']","{'G': 39, 'D/F#': 12, 'Em': 26, 'C': 33, 'Am': 9}",170 
Heart Of Gold,Em,no capo,"['Em7', 'D', 'Em', 'C', 'G']","{'Em7': 6, 'D': 21, 'Em': 26, 'C': 20, 'G': 25}",85 
The Night We Met,F#m,2nd fret,"['Em', 'D', 'G', 'C']","{'Em': 25, 'D': 8, 'G': 25, 'C': 17}",58 
Frozen - Let It Go,G,1st fret,"['Em', 'C', 'D', 'Asus4', 'Am', 'A', 'Cadd9', 'G', 'D/F#', 'Em7', 'Bm7', 'A#', 'Cm']","{'Em': 7, 'C': 13, 'D': 12, 'Asus4': 4, 'Am': 4, 'A': 3, 'Cadd9': 12, 'G': 10, 'D/F#': 10, 'Em7': 9, 'Bm7': 3, 'A#': 3, 'Cm': 1}",68 
How Deep Is Your Love,D#,1st fret,"['D', 'Dmaj7', 'Gmaj7', 'G/A', 'F#m7', 'Em7', 'B7', 'F#7', 'Bm7', 'C9', 'Gm6', 'Am/C']","{'D': 23, 'Dmaj7': 7, 'Gmaj7': 10, 'G/A': 13, 'F#m7': 13, 'Em7': 17, 'B7': 8, 'F#7': 3, 'Bm7': 3, 'C9': 3, 'Gm6': 10, 'Am/C': 5}",105 
What A Wonderful World,F,5th fret,"['C', 'Em', 'F', 'Dm', 'E7', 'Am', 'G#', 'Dm7', 'G', 'A#7', 'A7', 'Fmaj7']","{'C': 13, 'Em': 9, 'F': 4, 'Dm': 4, 'E7': 3, 'Am': 5, 'G#': 3, 'Dm7': 4, 'G': 8, 'A#7': 1, 'A7': 1, 'Fmaj7': 1}",72 
The Winner Takes It All,F#,no capo,"['G', 'B7', 'Em', 'E7/G#', 'Am', 'D', 'D/F#', 'Am/E', 'E/G#']","{'G': 22, 'B7': 11, 'Em': 17, 'E7/G#': 9, 'Am': 11, 'D': 19, 'D/F#': 8, 'Am/E': 8, 'E/G#': 3}",125 
Vienna,A#,no capo,"['Gm', 'A#', 'F', 'G#', 'D#', 'C', 'D9sus', 'D', 'Am', 'Dm/A', 'A#/F', 'Am7', 'D7', 'Gm7', 'C7', 'F#7', 'G7']","{'Gm': 9, 'A#': 19, 'F': 14, 'G#': 5, 'D#': 13, 'C': 2, 'D9sus': 5, 'D': 5, 'Am': 3, 'Dm/A': 4, 'A#/F': 4, 'Am7': 4, 'D7': 4, 'Gm7': 4, 'C7': 4, 'F#7': 5, 'G7': 1}",63 
I Wanna Be Yours,Cm,no capo,"['Cm', 'Fm', 'Gm', 'A#', 'G#']","{'Cm': 21, 'Fm': 16, 'Gm': 16, 'A#': 10, 'G#': 10}",68 
The Scientist,Dm,3rd fret,"['Bm7', 'G', 'D', 'Dsus2', 'A/D', 'D6/9', 'A/E', 'Asus4', 'A', 'Dmaj7', 'Dsus2/C#']","{'Bm7': 13, 'G': 19, 'D': 24, 'Dsus2': 12, 'A/D': 3, 'D6/9': 3, 'A/E': 3, 'Asus4': 3, 'A': 3, 'Dmaj7': 2, 'Dsus2/C#': 2}",73 
Something In The Way,Fm,1st fret,"['Em', 'C/G']","{'Em': 45, 'C/G': 45}",102 
Jersey Giant ,G,no capo,"['G', 'D', 'Am', 'C']","{'G': 19, 'D': 20, 'Am': 23, 'C': 22}",190 
Drivers License,A#,3rd fret,"['G', 'Em', 'C', 'D', 'Bm7', 'C6', 'D/F#', 'Em7']","{'G': 22, 'Em': 10, 'C': 17, 'D': 12, 'Bm7': 3, 'C6': 3, 'D/F#': 1, 'Em7': 1}",72 
Three Little Birds,A,no capo,"['A', 'D', 'E']","{'A': 31, 'D': 15, 'E': 6}",76 
Chasing Cars,A,no capo,"['A', 'E/G#', 'D', 'Dsus2', 'Dmaj7']","{'A': 30, 'E/G#': 15, 'D': 7, 'Dsus2': 1, 'Dmaj7': 8}",104 
Californication,Am,no capo,"['Am', 'F', 'C', 'G', 'Dm', 'Fmaj7', 'F#m', 'D', 'Bm', 'A', 'E']","{'Am': 44, 'F': 25, 'C': 17, 'G': 17, 'Dm': 17, 'Fmaj7': 18, 'F#m': 4, 'D': 8, 'Bm': 4, 'A': 4, 'E': 4}",96 
Wake Me Up,Bm,no capo,"['Bm', 'G', 'D', 'A', 'F#']","{'Bm': 38, 'G': 38, 'D': 38, 'A': 38, 'F#': 1}",124 
Blowin In The Wind,D,7th fret,"['G', 'C', 'D']","{'G': 36, 'C': 33, 'D': 24}",175 
SomD#ody That I Used To Know,Dm,5th fret,"['Am', 'G', 'F']","{'Am': 79, 'G': 112, 'F': 29}",129 
Fast Car,D,2nd fret,"['Cmaj7', 'G', 'Em', 'D', 'C']","{'Cmaj7': 36, 'G': 39, 'Em': 59, 'D': 41, 'C': 24}",NF
Layla,Dm,no capo,"['Dm', 'A#', 'C', 'A', 'C#m7', 'G#7', 'D', 'E', 'E7', 'F#m', 'B']","{'Dm': 49, 'A#': 26, 'C': 32, 'A': 9, 'C#m7': 6, 'G#7': 3, 'D': 3, 'E': 9, 'E7': 3, 'F#m': 6, 'B': 6}",94 
Forget Me,B,4th fret,"['F', 'Am', 'G', 'Dm']","{'F': 18, 'Am': 23, 'G': 25, 'Dm': 3}",102 
Piano Man,C,no capo,"['C', 'G', 'F', 'D7', 'Am', 'G7', 'A', 'E', 'D', 'B7', 'E7', 'F#m']","{'C': 76, 'G': 61, 'F': 52, 'D7': 19, 'Am': 7, 'G7': 4, 'A': 1, 'E': 1, 'D': 1, 'B7': 1, 'E7': 1, 'F#m': 1}",NF
Brown Eyed Girl,G,no capo,"['G', 'C', 'D', 'Em', 'D7']","{'G': 49, 'C': 27, 'D': 27, 'Em': 3, 'D7': 3}",151 
Slipping Through My Fingers,F#,3rd fret,"['G', 'Gm', 'D', 'F#m', 'A', 'A/C#', 'F#', 'D/F#', 'Asus4', 'Dsus4', 'Em']","{'G': 31, 'Gm': 8, 'D': 39, 'F#m': 14, 'A': 12, 'A/C#': 4, 'F#': 3, 'D/F#': 3, 'Asus4': 8, 'Dsus4': 2, 'Em': 6}",68 
Counting Stars,Am,4th fret,"['Am', 'C', 'G', 'F', 'Dm']","{'Am': 28, 'C': 27, 'G': 27, 'F': 33, 'Dm': 1}",122 
Redemption Song,G,no capo,"['G', 'Em', 'Em7', 'C', 'G/B', 'Am', 'Am7', 'D', 'C/B', 'Am6']","{'G': 26, 'Em': 21, 'Em7': 6, 'C': 35, 'G/B': 9, 'Am': 8, 'Am7': 3, 'D': 27, 'C/B': 1, 'Am6': 1}",116 
Winter Wonderland,C,no capo,"['C', 'G7', 'G', 'F', 'Em', 'Dm', 'Am', 'E', 'A', 'D7']","{'C': 12, 'G7': 12, 'G': 12, 'F': 4, 'Em': 4, 'Dm': 4, 'Am': 6, 'E': 8, 'A': 4, 'D7': 2}",111 
In The Stars,A#,3rd fret,"['G', 'D', 'Em', 'Bm', 'Am', 'C', 'B7', 'Cm']","{'G': 27, 'D': 15, 'Em': 21, 'Bm': 10, 'Am': 4, 'C': 12, 'B7': 3, 'Cm': 3}",78 
Do I Wanna Know ,Gm,3rd fret,"['B', 'D', 'Em', 'C', 'Am']","{'B': 3, 'D': 2, 'Em': 35, 'C': 20, 'Am': 21}",86 
Dancing On My Own,C,1st fret,"['C', 'G', 'F', 'Am']","{'C': 18, 'G': 29, 'F': 30, 'Am': 14}",110 
Wonderful Tonight,G,no capo,"['G', 'D/F#', 'C', 'D', 'Em']","{'G': 21, 'D/F#': 17, 'C': 21, 'D': 21, 'Em': 7}",96 
Snap,Am,no capo,"['Am', 'F', 'C', 'G', 'G/B']","{'Am': 25, 'F': 29, 'C': 27, 'G': 11, 'G/B': 18}",85 
Tears In Heaven,A,no capo,"['A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'E', 'C#/E#', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'E7sus', 'C', 'G/B', 'Am', 'G', 'Em']","{'A': 22, 'E/G#': 6, 'F#m': 16, 'A/E': 18, 'D/F#': 16, 'E7sus4': 3, 'E7': 5, 'E': 13, 'C#/E#': 4, 'A7/E': 4, 'F#7': 4, 'Bm7': 5, 'Bm7/E': 5, 'E7sus': 1, 'C': 2, 'G/B': 2, 'Am': 2, 'G': 3, 'Em': 1}",80 
A Horse With No Name,Em,no capo,"['Em', 'D6/9', 'Em9', 'Dmaj9']","{'Em': 24, 'D6/9': 24, 'Em9': 24, 'Dmaj9': 24}",123 
Happy Birthday,C#,1st fret,"['C', 'G7', 'F']","{'C': 5, 'G7': 3, 'F': 1}",90 
Sweet Home AlG#ama,G,no capo,"['D', 'Cadd9', 'G', 'F', 'C']","{'D': 52, 'Cadd9': 51, 'G': 51, 'F': 3, 'C': 3}",98 
Goodness Of God,G,1st fret,"['G', 'Gsus4', 'C', 'D/F#', 'Em', 'D', 'G/B']","{'G': 50, 'Gsus4': 2, 'C': 51, 'D/F#': 9, 'Em': 16, 'D': 35, 'G/B': 14}",NF
Folsom Prison Blues,E,1st fret,"['E', 'E7', 'A', 'B7']","{'E': 22, 'E7': 8, 'A': 8, 'B7': 8}",200 
Rocket Man,Gm,3rd fret,"['Em7', 'A9', 'C', 'G/B', 'Am', 'Am/G', 'D/F#', 'D', 'D/A', 'G']","{'Em7': 8, 'A9': 12, 'C': 22, 'G/B': 7, 'Am': 4, 'Am/G': 4, 'D/F#': 4, 'D': 4, 'D/A': 3, 'G': 15}",69 
