I Will Follow You Into The Dark (ver 3),Death Cab for Cutie,F Major,80
Over The Rainbow (ver 3),Israel Kamakawiwoʻole,G Major,85
505,Arctic Monkeys,C Major,140
Talking To The Moon,Bruno Mars,C# Minor,146
Its Beginning To Look A Lot Like Christmas (ver 3),Michael Bublé,E Major,95
Sparks (ver 2),Coldplay,C# Major,103
Best Part,Daniel Caesar,G Major,75
Let It Be,H.E.R.,A♭ Major,90
While My Guitar Gently Weeps,The Beatles,E Minor,113
Here With Me,The Beatles,B♭ Major,127
Nothing Else Matters,d4vd,E Minor,142
Father And Son,Metallica,G Major,103
Easy On Me,Cat Stevens,F Major,142
Fade Into You (ver 3),Adele,D Major,160
Karma Police (ver 2),Mazzy Star,G Major,145
All Too Well,Radiohead,C Major,93
Something (ver 2),Taylor Swift,C Major,134
Let It Snow,The Beatles,B♭ Major,141
A Thousand Years,Dean Martin,B Major,100
Cardigan,Christina Perri,C Major,76
The A Team (ver 5),Taylor Swift,A Major,85
Heart Of Gold,Ed Sheeran,E Minor,91
The Night We Met,Neil Young,D Major,174
Frozen - Let It Go,Lord Huron,A♭ Major,137
You Belong With Me (ver 2),Phoebe Bridgers,G Major,120
How Deep Is Your Love (ver 4),Misc Cartoons,F Minor,99
What A Wonderful World (ver 9),Taylor Swift,B Major,129
Maroon,ABBA,B Minor,128
Vienna,Extreme,B Minor,135
I Wanna Be Yours,Taylor Swift,C Minor,68
Valerie (ver 7),Arctic Monkeys,E Major,106
Killing Me Softly,Backstreet Boys,E Minor,92
Rockin Around The Christmas Tree,Amy Winehouse,A♭ Major,67
The Scientist,Fugees,F Major,146
We Wish You A Merry Christmas,Brenda Lee,F Major,156
Dandelions (ver 2),Coldplay,A♭ Minor,102
Jersey Giant Acoustic,Ruth B.,G Major,123
Drivers License,Olivia Rodrigo,B♭ Major,144
Three Little Birds,Bob Marley,A Major,74
Ring Of Fire,Johnny Cash,G Major,104
Bad Moon Rising,Creedence Clearwater Revival,D Major,89
Love Of My Life,Queen,F Major,79
Chasing Cars,Snow Patrol,A Major,104
Californication,Red Hot Chili Peppers,A Minor,96
Wake Me Up (ver 2),Avicii,D Major,124
Rudolph The Red-Nosed Reindeer (ver 2),Misc Christmas,C Major,164
Dont Think Twice Its All Right (ver 2),Bob Dylan,E Major,111
There Is A Light That Never Goes Out,The Smiths,E Major,136
Blowin In The Wind,Bob Dylan,D Major,175
Mary On A Cross (ver 2),Ghost,B Major,130
Somebody That I Used To Know (ver 2),Gotye,C Minor,129
Mr Brightside,The Killers,C# Major,148
Fast Car (ver 3),Tracy Chapman,A Major,102
Layla Acoustic Live (ver 3),Eric Clapton,D Minor,94
Forget Me,Lewis Capaldi,C# Minor,102
Piano Man (ver 5),Billy Joel,C Major,159
Brown Eyed Girl (ver 4),Van Morrison,G Major,146
Slipping Through My Fingers,ABBA,F Major,137
Counting Stars,OneRepublic,F Major,137
Redemption Song (ver 2),Bob Marley,G Major,108
Winter Wonderland (ver 2),Dean Martin,G Major,117
In The Stars,Benson Boone,B♭ Major,78
Do I Wanna Know Acoustic,Arctic Monkeys,C Major,84
Dancing On My Own (ver 2),Calum Scott,C# Major,113
Radioactive,Imagine Dragons,A Major,136
Take It Easy (ver 2),Eagles,G Major,139
Wonderful Tonight (ver 3),Eric Clapton,G Major,93
Coco - Remember Me Lullaby (ver 3),Misc Cartoons,C Major,93
Snap,Robert Lopez,C# Major,144
Tears In Heaven,Kristen Anderson-Lopez,B♭ Minor,126
A Horse With No Name,Rosa Linn,B Minor,100
Happy Birthday (ver 2),Eric Clapton,G Major,137
Here Comes The Sun (ver 8),America,A Major,64
Sweet Home Alabama,Misc Traditional,G Major,98
Unholy,The Beatles,G Major,149
Goodness Of God,Lynyrd Skynyrd,A Major,145
Folsom Prison Blues (ver 4),Sam Smith,C Major,111
Rocket Man,Kim Petras,E Minor,75
July,Bethel Music,C# Major,164
Dreams,Johnny Cash,A Major,174
When The Partys Over,Noah Cyrus,C# Major,156
In My Life (ver 5),Fleetwood Mac,A♭ Major,87
Every Breath You Take (ver 8),Alicia Keys,C# Major,117
Night Changes,Billie Eilish,E Minor,100
Joy To The World,The Beatles,E Major,144
Yellow,Coldplay,B Major,173
Just The Way You Are,Bruno Mars,F Major,109
Stand By Me,Ben E. King,A Major,118
Dust In The Wind (ver 2),Kansas,A Minor,176
Santa Claus Is Coming To Town,Misc Christmas,G Major,82
Before You Go,Lewis Capaldi,E♭ Major,112
Dream On (ver 2),Aerosmith,F Minor,150
You Are The Reason (ver 3),Calum Scott,B♭ Major,172
Leaving On A Jet Plane,John Denver,G Major,121
Stay With Me,Sam Smith,C Major,84
Africa,Toto,A Major,93
The Only Exception,Paramore,E Major,138
Like A Stone Acoustic,Chris Cornell,A Minor,85
Wellerman,The Longest Johns,E♭ Major,95
Made You Look,Meghan Trainor,B♭ Major,145
Sweet Nothing,Taylor Swift,C Major,88
The Scientist (ver 2),Coldplay,F Major,73
Feathered Indians,Tyler Childers,G Major,87
Tennessee Whiskey (ver 3),Chris Stapleton,A Major,49
Free Fallin,Tom Petty,F Major,84
A Star Is Born - Shallow,Misc Soundtrack,G Major,100
Careless Whisper (ver 4),Lady Gaga,B Minor,159
Comfortably Numb,Bradley Cooper,F# Major,115
Dont Stop Me Now (ver 3),George Michael,F Major,155
Patience,Pink Floyd,A Major,120
Burn Burn Burn,Queen,D Major,125
Where Did You Sleep Last Night Acoustic,Guns N' Roses,A♭ Major,120
Traitor,Zach Bryan,E Minor,119
Romantic Homicide,Nirvana,G Major,136
Believer (ver 2),Olivia Rodrigo,E♭ Major,87
Hey Jude,d4vd,F Major,134
Dont Stop Believin (ver 13),Imagine Dragons,A♭ Major,148
Im Still Standing,The Beatles,F# Major,88
November Rain (ver 2),Journey,B Major,78
Yesterday (ver 4),Elton John,C Minor,76
Wonderwall (ver 3),Guns N' Roses,E Major,100
Reckless Love (ver 2),The Beatles,F# Major,111
Blue Christmas (ver 3),Oasis,F Major,150
Take On Me,Cory Asbury,A♭ Major,140
Ocean Eyes,Elvis Presley,E Minor,145
How Do I Say Goodbye Live,a-ha,A♭ Major,82
Snow On The Beach,Billie Eilish,A Major,110
Amazing Grace (ver 2),Dean Lewis,G Major,112
Glimpse Of Us (ver 4),Taylor Swift,A♭ Major,170
Seven Nation Army,Lana Del Rey,C# Minor,112
Wonderwall,Misc Praise Songs,A♭ Major,139
Wild World,John Newton,C Major,153
Watermelon Sugar,Joji,A♭ Major,85
The Great War,The White Stripes,F Major,96
Skinny Love (ver 4),Oasis,G Major,125
The Man Who Sold The World (ver 2),Nirvana,C# Minor,115
Mad World,Gary Jules,E♭ Major,174
Hey Soul Sister (ver 2),Train,E Major,97
Sweet Caroline,Neil Diamond,B Major,63
Sign Of The Times,Harry Styles,F Major,120
Mistletoe (ver 5),Justin Bieber,A Major,81
Clocks,Coldplay,F Minor,131
Goodbye Yellow Brick Road,Elton John,F Major,121
Toy Story - Youve Got A Friend In Me,Misc Cartoons,C Minor,116
How To Save A Life,Randy Newman,B♭ Major,122
The Scientist (ver 4),The Fray,F# Major,74
Starman (ver 2),Coldplay,C# Major,103
Sultans Of Swing (ver 2),David Bowie,D Minor,154
Drops Of Jupiter,Dire Straits,C Major,79
The Boxer,Adele,B Major,93
Summertime Sadness,Simon & Garfunkel,C# Minor,112
Blackbird (ver 2),Lana Del Rey,A Major,93
With Or Without You,The Beatles,D Major,107
Teenage Dirtbag,U2,E Major,95
Golden Hour (ver 3),Kate Bush,F Minor,128
The Christmas Song (ver 3),JVKE,B♭ Major,60
Lady May,Otis Redding,D Major,104
Across The Universe,Tyler Childers,B Major,78
Cover Me Up,The Beatles,E Major,139
Circles,Morgan Wallen,C Major,102
Beggin,Post Malone,D Minor,160
Otherside,Måneskin,G Minor,124
This Town,Red Hot Chili Peppers,G Minor,110
The Greatest Showman - A Million Dreams (ver 2),Niall Horan,G Major,55
My Sweet Lord,Misc Soundtrack,C# Minor,121
Everybody Wants To Rule The World Acoustic,George Harrison,G Major,112
Crazy Little Thing Called Love,The Beatles,C Major,77
Hit The Road Jack,Queen,A♭ Minor,173
10000 Reasons Bless The Lord,Ray Charles,G Major,145
Funeral,Matt Redman,G Major,145
Count On Me (ver 3),Phoebe Bridgers,A♭ Major,116
Set Fire To The Rain (ver 2),Bruno Mars,D Minor,128
Hey There Delilah (ver 3),Adele,D Major,104
Take On Me Acoustic,Plain White T's,A Major,130
Mastermind,Bo Burnham,A♭ Minor,96
Castle On The Hill,Taylor Swift,A Minor,135
Grenade,Ed Sheeran,D Minor,98
Exit Music For A Film (ver 2),Bruno Mars,E Minor,123
Fairytale Of New York (ver 2),Radiohead,D Major,101
Accidentally In Love,Pogues,G Major,138
You Are My Sunshine,Johnny Cash,A Major,90
Santa Tell Me,Ariana Grande,G Major,96
The 30Th,Billie Eilish,G Major,83
Suspicious Minds,Elvis Presley,G Major,117
All I Ask,Adele,E Major,142
A Sky Full Of Stars (ver 2),Coldplay,F# Major,75
Peaceful Easy Feeling,Eagles,E Major,143
Stitches,Shawn Mendes,C# Major,150
Numb,Linkin Park,A Major,110
I Dont Want To Miss A Thing,Aerosmith,D Major,121
Moon River (ver 6),Audrey Hepburn,F Major,76
No Se Va,Grupo Frontera,C Major,173
Complicated,Avril Lavigne,F Major,78
Can You Feel The Love Tonight (ver 2),Elton John,B♭ Major,126
Skyfall (ver 4),Adele,C Minor,75
Cant Take My Eyes Off You,Joseph Vincent,C# Major,88
All My Loving,The Beatles,C# Minor,78
Creep (ver 2),Radiohead,G Major,82
Karma (ver 2),Taylor Swift,A♭ Major,90
Stairway To Heaven (ver 5),Led Zeppelin,G Major,80
Wonderwall (ver 5),Oasis,D Major,90
Torn,Natalie Imbruglia,F Major,96
Summer Of 69,Bryan Adams,D Major,139
Proud Mary,Creedence Clearwater Revival,D Major,121
Bridge Over Troubled Water (ver 2),Simon & Garfunkel,E♭ Major,84
Ceilings (ver 2),Lizzy McAlpine,A Major,148
Run Away To Mars,TALK,A Major,119
I Love You,Billie Eilish,C Major,137
Save Your Tears,The Weeknd,C Major,118
The Perfect Pair,beabadoobee,B Major,146
About You,The 1975,D Major,96
Black Panther Wakanda Forever - Lift Me Up,Misc Soundtrack,A Major,89
Lemon Tree (ver 2),Rihanna,C# Major,95
Bohemian Rhapsody,U2,F Major,83
Merry Christmas Everyone,Steve Lacy,A Minor,151
Half The World Away (ver 2),Shakin' Stevens,A♭ Major,65
Friday Im In Love,Oasis,C# Major,148
Island In The Sun,The Cure,B♭ Major,136
August,Weezer,A♭ Major,92
Thank You (ver 2),Taylor Swift,C# Major,96
Apocalypse,Dido,A Minor,83
Afterglow (ver 2),Cigarettes After Sex,E♭ Major,94
Favorite Crime,Ed Sheeran,E Major,103
Home (ver 2),Olivia Rodrigo,D Major,146
Snuff,Edward Sharpe and the Magnetic Zeros,F# Minor,124
I Walk The Line (ver 3),Slipknot,B♭ Major,106
This Is The Life (ver 3),Johnny Cash,C# Minor,94
Video Games,Lana Del Rey,F# Minor,73
Norwegian Wood (ver 3),The Beatles,D Major,108
Highway To Hell,AC/DC,F# Minor,116
Riptide,Vance Joy,C# Major,102
Stay Live,Post Malone,F Major,86
Rises The Moon,liana flores,F Minor,137
Beautiful Crazy,Luke Combs,B Major,103
Kiss Me (ver 2),Sixpence None the Richer,E♭ Major,93
The Times They Are A-Changin,Bob Dylan,G Major,172
Demons,Imagine Dragons,E♭ Major,90
Blinding Lights,The Weeknd,C# Major,171
Wake Me Up When September Ends (ver 4),Green Day,G Major,105
Basket Case (ver 4),Green Day,E♭ Major,88
Frosty The Snowman (ver 2),Misc Christmas,C Major,89
Shape Of You (ver 2),Ed Sheeran,C# Minor,96
Dont Cry,Guns N' Roses,B Major,125
She Used To Be Mine,Sara Bareilles,F Major,136
If I Can Dream,Elvis Presley,G Major,94
Wind Of Change (ver 2),Scorpions,C Major,75
Wild Horses,The Rolling Stones,G Major,140
Heading South,Zach Bryan,E Major,110
Champagne Problems,Taylor Swift,C Major,171
Say Something (ver 3),A Great Big World,D Major,47
Yellow Submarine,Christina Aguilera,G Major,110
Lean On Me,The Beatles,C Major,75
Both Sides Now,Bill Withers,E Minor,78
7 Years (ver 2),Joni Mitchell,D Major,142
Come As You Are,Lukas Graham,A Major,82
Harvest Moon,Nirvana,E Major,158
La La Land - City Of Stars (ver 3),Neil Young,F# Minor,98
Mr Tambourine Man (ver 3),Coldplay,D Major,120
Heaven,Bob Dylan,G Major,140
The Twilight Saga New Moon - Rosyln (ver 2),Bryan Adams,B♭ Minor,160
Jealous (ver 3),Misc Soundtrack,A Minor,93
Under The Bridge,Bon Iver,A Major,170
Ill Be Home For Christmas,St. Vincent,A♭ Major,113
Bigger Than The Whole Sky,Labrinth,B Major,145
Supermarket Flowers,Red Hot Chili Peppers,F# Major,90
Be Alright,Bing Crosby,E♭ Major,104
Bad Habit (ver 2),Taylor Swift,B Minor,126
Away In A Manger,Ed Sheeran,E Major,123
Dancing In The Dark (ver 5),Dean Lewis,G Major,139
Isnt She Lovely (ver 3),Steve Lacy,A♭ Major,116
Havana,Misc Christmas,A Minor,123
Ceilings,Bruce Springsteen,E Major,128
I Wont Back Down,Stevie Wonder,E♭ Major,113
Let It Go (ver 2),Camila Cabello,G Major,140
Ghost,Young Thug,A♭ Major,158
Ho Hey,Lizzy McAlpine,B Major,170
Little Drummer Boy (ver 3),Misc Christmas,D Major,104
Fake Plastic Trees,Radiohead,D Major,74
Toxic (ver 3),Britney Spears,A♭ Major,143
No Time To Die,Billie Eilish,E Minor,74
Shake The Frost,Tyler Childers,D Major,139
Paint It Black,The Rolling Stones,C# Major,159
First Day Of My Life,Bright Eyes,C# Minor,95
Too Good At Goodbyes,Sam Smith,F Major,92
Unchained Melody,Elvis Presley,C Major,79
Please Come Home For Christmas,Eagles,A Major,92
Desperado (ver 5),Eagles,G Major,140
Jar Of Hearts,Christina Perri,E♭ Major,75
The River,Bruce Springsteen,G Major,117
Tangled - I See The Light,Misc Cartoons,F Major,87
Hark The Herald Angels Sing (ver 3),Mandy Moore,E Major,117
The Greatest Showman - Never Enough (ver 2),Misc Christmas,A♭ Major,87
O Come All Ye Faithful,Misc Soundtrack,G Major,111
Fake Plastic Trees (ver 3),Loren Allred,C Major,150
Youre Still The One,Misc Christmas,C# Major,134
About A Girl Acoustic,Radiohead,E♭ Minor,121
Cleopatra Acoustic,Shania Twain,B♭ Major,125
Hello,Nirvana,G Major,52
Here There And Everywhere,The Lumineers,F Major,76
Hotel California (ver 4),Adele,D Major,75
I Love You So,The Beatles,G Major,103
Between The Bars,Eagles,G Minor,135
Enchanted,The Walters,D Minor,115
The First Noel (ver 4),Elliott Smith,E♭ Major,91
Free Bird (ver 3),Taylor Swift,F# Major,131
La Vie En Rose (ver 2),Misc Christmas,F Major,150
Come Together,Lynyrd Skynyrd,C Major,118
Life On Mars (ver 8),Louis Armstrong,B♭ Major,123
Halo (ver 2),The Beatles,B Minor,94
Under The Influence,David Bowie,F Major,100
21 Guns,Beyoncé,F Major,160
Bejeweled,Chris Brown,F Minor,128
Wheres My Love,Green Day,E♭ Major,104
A Day In The Life (ver 3),Taylor Swift,E Minor,79
My Way,SYML,F# Minor,150
And I Love Her (ver 2),The Beatles,C# Minor,118
Time,Frank Sinatra,A Major,88
Simple Man (ver 3),The Beatles,A Major,79
Betty,Pink Floyd,E Major,71
Slow Dancing In A Burning Room (ver 3),Lynyrd Skynyrd,C# Minor,134
Home,Taylor Swift,F Major,125
Angels (ver 7),John Mayer,E Major,75
Banana Pancakes,Edward Sharpe and the Magnetic Zeros,D Major,112
Nothing Compares 2 U,Robbie Williams,E Major,150
God Rest Ye Merry Gentlemen,Jack Johnson,C# Minor,136
Grease - Hopelessly Devoted To You,Chris Cornell,B Minor,111
My Way (ver 4),Frank Sinatra,C Major,90
Mardy Bum,Arctic Monkeys,D Major,112
All The Small Things,Blink-182,C Major,149
The Gambler (ver 2),Kenny Rogers,E♭ Major,90
Somebody To Love,Queen,A♭ Major,112
Dont Dream Its Over,Crowded House,A♭ Major,82
Youre Beautiful,James Blunt,C Minor,82
Mr Jones,Counting Crows,C Major,142
O Come To The Altar,Elevation Worship,B Major,140
Brazil,Declan McKenna,E Major,121
Take Me To Church,Hozier,E Minor,129
Gravity,John Mayer,G Major,124
Dont Speak (ver 3),No Doubt,F Minor,77
I Want To Hold Your Hand (ver 3),The Beatles,G Major,131
Nutshell,Alice in Chains,E♭ Minor,136
Runaway,AURORA,B Major,115
Fire And Rain (ver 4),James Taylor,F Major,110
Candy,Paolo Nutini,G Major,125
Little Talks,Of Monsters and Men,C# Major,103
Let You Break My Heart Again,Laufey,D Major,77
Wildest Dreams,Taylor Swift,A♭ Major,140
Chandelier (ver 3),Sia,C# Major,174
She Will Be Loved (ver 3),Maroon 5,C Minor,102
Scott Street,Phoebe Bridgers,B♭ Major,135
O Come O Come Emmanuel,Misc Christmas,C Major,172
Arcade,Duncan Laurence,A Minor,72
The Weight,The Beatles,C Major,84
Driving Home For Christmas,The Band,C# Major,94
Twinkle Twinkle Little Star,Chris Rea,E Major,130
Linger Acoustic,Misc Children,E♭ Major,73
Pumped Up Kicks Acoustic,The Cranberries,E Major,128
Million Reasons,Foster the People,C Major,130
Get Lucky (ver 2),Lady Gaga,G Minor,140
My Heart Will Go On (ver 5),Michael Bublé,C# Minor,106
Dream A Little Dream Of Me (ver 5),Celine Dion,E♭ Major,163
Make Room Live,The Mamas & The Papas,F Major,122
Matilda,Community Music,F Major,140
Autumn Leaves,Harry Styles,B♭ Minor,105
Cyberpunk 2077 - I Really Want To Stay At Your House,Eric Clapton,E♭ Minor,125
The Man Who Sold The World,Misc Computer Games,C# Minor,115
Back In Black,Nirvana,D Minor,139
I Will Survive (ver 2),AC/DC,E Minor,96
Lithium (ver 2),Gloria Gaynor,G Major,121
Lyin Eyes,Nirvana,G Major,133
Say It Aint So,Eagles,E♭ Major,152
See You Again,Wiz Khalifa,B♭ Major,80
Oceans Where Feet May Fail (ver 5),Charlie Puth,D Major,132
Dancing In The Moonlight (ver 2),Hillsong United,B♭ Major,119
No Woman No Cry,Pink Floyd,E Minor,112
Merry Xmas Everybody (ver 4),Bob Marley,E Major,126
Falling,Slade,C# Major,100
Mary,The Kid LAROI,E Major,120
Oh Pretty Woman,Alex G ((Sandy) Alex G),D Major,170
Baby One More Time,Roy Orbison,A Major,115
Heroes (ver 3),Britney Spears,F Minor,135
Youve Got A Friend,David Bowie,C Minor,116
Mamma Mia,James Taylor,E Major,75
Last Christmas (ver 4),ABBA,D Major,90
Holly Jolly Christmas,Wham!,C Major,140
How Far Ill Go (ver 2),Misc Christmas,B Major,81
Let Me Down Slowly (ver 2),Alessia Cara,C# Minor,150
Im Yours,Alec Benjamin,D Major,84
Live Forever (ver 2),Jason Mraz,C Major,90
Boys Dont Cry (ver 2),Oasis,F# Major,121
Big Jet Plane,The Cure,B♭ Minor,110
Little Lion Man,Angus & Julia Stone,F Major,139
Sweet Dreams Are Made Of This (ver 3),Mumford & Sons,B Major,147
Bad Habits,Eurythmics,C# Major,169
Happier,Ed Sheeran,C Major,90
Vienna (ver 3),Ed Sheeran,B♭ Major,125
Skinny Love (ver 2),System Of A Down,E Major,167
Always On My Mind,Bon Iver,D Major,131
The Chain (ver 2),Willie Nelson,G Major,79
Mrs Robinson,Fleetwood Mac,F# Minor,92
Everybody Hurts,Simon & Garfunkel,D Major,90
White Rabbit,R.E.M.,D Major,103
Je Te Laisserai Des Mots,Jefferson Airplane,D Major,108
Lover,Patrick Watson,F Major,102
Remember,Taylor Swift,F# Major,130
Bruises (ver 2),Becky Hill,G Minor,137
Just Like Heaven,David Guetta,A♭ Major,130
Livin On A Prayer (ver 2),Lewis Capaldi,D Major,125
Last Kiss,The Cure,F Major,166
Black (ver 2),Bon Jovi,A Major,128
Line Without A Hook,Pearl Jam,A Major,136
Starting Over,Pearl Jam,C Major,92
Lavender Haze,Ricky Montgomery,E♭ Major,118
The Long And Winding Road,Chris Stapleton,E♭ Major,132
K,Taylor Swift,A♭ Major,90
Im On Fire (ver 3),The Beatles,C# Minor,89
Im In Love With You,Cigarettes After Sex,F Major,94
Titanium (ver 2),Bruce Springsteen,A♭ Minor,124
Please Please Please Let Me Get What I Want (ver 2),The Smiths,D Major,92
Eye Of The Tiger (ver 2),Survivor,C Minor,109
In The Aeroplane Over The Sea,Neutral Milk Hotel,G Major,94
Story Of My Life,One Direction,E♭ Major,121
Santeria,Sublime,C# Minor,91
Black Hole Sun (ver 4),Soundgarden,A♭ Major,140
Save Tonight,Eagle-Eye Cherry,C Major,120
Me And Bobby Mcgee,Janis Joplin,D Major,93
Never Gonna Give You Up Live,Foo Fighters,A♭ Major,113
Old Town Road,Rick Astley,F# Major,136
Idontwannabeyouanymore,Lil Nas X,G Major,170
Pompeii (ver 2),Billie Eilish,A Major,128
Brown Eyed Girl,Bastille,G Major,151
Whyd You Only Call Me When Youre High Acoustic (ver 2),Van Morrison,D Major,92
Mockingbird (ver 2),Arctic Monkeys,B♭ Major,148
Bella Ciao (ver 2),Eminem,D Minor,133
Wish You Were Gay Acoustic,Misc Traditional,G Major,118
I Know The End,Billie Eilish,C# Major,112
Photograph (ver 2),Phoebe Bridgers,F# Major,108
Strawberry Fields Forever (ver 4),Ed Sheeran,B♭ Major,91
Snow Hey Oh,The Beatles,B Major,105
River (ver 4),Poison,B♭ Minor,144
Demons (ver 2),Joni Mitchell,C Major,82
Oh Darling,Imagine Dragons,B♭ Minor,124
Tiny Dancer (ver 2),The Beatles,C Major,147
Savior Complex,Josh Groban,E Major,129
Night Moves,Phoebe Bridgers,B Major,171
Nobody Knows You When Youre Down And Out Acoustic Live,Bob Seger & The Silver Bullet Band,F# Minor,93
Body Paint,Eric Clapton,A Major,97
This Is Home,Arctic Monkeys,G Major,130
Only Love Can Hurt Like This,cavetown,A♭ Major,91
Help,Paloma Faith,A Major,128
Johnny B Goode,The Beatles,A Major,152
Mamma Mia - Dancing Queen,Chuck Berry,C Major,78
Angel Baby,Misc Soundtrack,B Major,72
I Wanna Be Yours (ver 2),Troye Sivan,E♭ Minor,78
All Star,Arctic Monkeys,F Major,165
Blank Space,Smash Mouth,B Major,104
Annies Song,Taylor Swift,D Major,146
Stand By Me Acoustic (ver 2),John Denver,B♭ Major,112
Baby Its Cold Outside,Oasis,G Major,127
The Greatest Showman - Rewrite The Stars (ver 2),Misc Christmas,B♭ Major,126
Your Man,Misc Soundtrack,A Major,105
Shes Always A Woman (ver 2),Zendaya,A♭ Major,74
The Little Mermaid - Part Of Your World (ver 2),Josh Turner,F Major,62
The Sound Of Music - Edelweiss,Bob Dylan,A♭ Major,56
Ripple,Grateful Dead,G Major,127
Motion Sickness (ver 2),Phoebe Bridgers,C# Major,107
All Yourn,Tyler Childers,B Major,78
Moon Song,Phoebe Bridgers,C# Major,155
